critere,critere_type,condition,nct_id,nb_etudes
Affiliation with or beneficiary of a social security program (health insurance),inclusion,depression,['NCT03810482'],1
Affiliation with or beneficiary of a social security program (health insurance),inclusion,hypertension,['NCT03810482'],1
Age \<18 years,exclusion,hypertension,['NCT05521776'],1
"Age \<18 years old,",exclusion,hypertension,['NCT04356326'],1
Age \> 70 years,inclusion,stroke,['NCT05224973'],1
Age ≥ 18 years,inclusion,hypertension,['NCT06687265'],1
Age ≥ 18 years old,inclusion,healthy,['NCT06746220'],1
Age ≥ 18 years old,inclusion,stroke,['NCT04759326'],1
Age ≥18 years,inclusion,hypertension,['NCT05521776'],1
Age between 18 and 40 years old.,inclusion,hypertension,['NCT04520048'],1
Age over 18 years,inclusion,depression,['NCT05480826'],1
Agree to abstain from donating blood/plasma or any other bodily fluids from the time of vaccination until 1 year after vaccination (only for LVT-001 vaccine).,inclusion,healthy,['NCT06821126'],1
Agree to be registered in the computerized file of the Ministry of Health (VRB).,inclusion,healthy,['NCT06821126'],1
Agree to implement barrier measures as much as possible (washing hands and wearing a mask) against COVID-19 and respiratory infections between D0 and D28.,inclusion,healthy,['NCT06821126'],1
Agree to stay in the geographical area of one of the clinical sites for the duration of the trial.,inclusion,healthy,['NCT06821126'],1
"Alcohol consumption \> 14 units/week for women or \> 21 units/week for men, current or abstinent for less than 6 months",exclusion,hypertension,['NCT06687265'],1
Alcohol ingestion before the examination,exclusion,healthy,['NCT05036629'],1
All musculoskeletal conditions affecting the cervical spine less than 6 months old.,exclusion,healthy,['NCT06754774'],1
All musculoskeletal conditions affecting the upper limb less than 6 months old.,exclusion,healthy,['NCT06754774'],1
All participants must sign informed consent before the start of the study,inclusion,healthy,['NCT06746220'],1
Allergy or hypersensitivity to cold,exclusion,healthy,['NCT04423874'],1
Allergy to any excipient known to be present in the probiotic or placebo formulation,exclusion,healthy,['NCT06746220'],1
Amblyopia,exclusion,hypertension,['NCT06945848'],1
An Eastern Cooperative Oncology Group (ECOG) performance status of 0 to 1 assessed within 7 days before first dose of study treatment,inclusion,breast cancer,['NCT06393374'],1
Anatomical anomaly of the venous sinus which would prevent safe catheterization and stenting,exclusion,hypertension,['NCT06945848'],1
"Anticipated disability to attend all the visits, treatments and measures planned by the protocol: severe personality disorder, severe substance addiction, severe intellectual development disorder. In any of those cases, the notion of severity is at the indiscretion of the investigator",exclusion,depression,['NCT05952674'],1
Anticipated length of hospital stay in a participating centre ≥ 5 days,inclusion,stroke,['NCT07065929'],1
Any active tumor of non-breast-cancer histology.,exclusion,breast cancer,['NCT05896566'],1
Any acute kidney injury within 3 months prior to the Screening Visit,exclusion,hypertension,['NCT06268873'],1
Any clinical condition requiring systemic immunosuppression therapy other than stable maintenance therapy for at least 3 months prior to Visit 1.,exclusion,hypertension,['NCT06268873'],1
"Any concurrent disease or serious medical condition or abnormality in clinical laboratory tests that, in the investigator's judgment, precludes the patient's safe participation in and completion of the study.",exclusion,breast cancer,['NCT05896566'],1
"Any condition that, in the opinion of the investigator, would make the subject's participation in the study undesirable or that would compromise compliance with the protocol",exclusion,depression,['NCT05480826'],1
"Any constitutional or acquired hemorrhagic disease, (including digestive hemorrhages, history of hemorrhagic stroke and thrombocytopenia",exclusion,hypertension,['NCT04356326'],1
any dental apparatus containing metal including or root canals,exclusion,healthy,['NCT04457622'],1
Any dialysis (including for acute kidney injury) within 3 months prior to Screening Visit.,exclusion,hypertension,['NCT06268873'],1
any foreign metallic object anywhere in the body,exclusion,healthy,['NCT04457622'],1
Any form of contraindication to the trial vaccines tested.,exclusion,healthy,['NCT06821126'],1
"Any medical or active psychological condition or any clinically relevant laboratory abnormalities, such as, but not limited, to elevated ALT or AST (\> 3 × ULN) in combination with elevated bilirubin (\> 2 × ULN), at the screening/baseline visit.",exclusion,healthy,['NCT07090889'],1
"Any other condition or previous therapy that, in the opinion of the Investigator or their designee, would render the participant unsuitable for this study, including an inability to fully comply with the study protocol requirements or a likelihood of noncompliance with study procedures.",exclusion,healthy,['NCT07090889'],1
"Any other condition or previous therapy that, in the opinion of the Investigator or their designee, would render the patient unsuitable for this study, including an inability to fully comply with the study protocol requirements or a likelihood of noncompliance with study procedures.",exclusion,healthy,['NCT07090889'],1
"Any other condition that, in the opinion of the investigator, would compromise the safety or rights of a volunteer participating in the trial or render the subject unable to comply with the protocol.",exclusion,healthy,['NCT06821126'],1
"Any other reason which in the opinion of the investigator, could interfere with the evaluation of the study objectives.",exclusion,obesity,['NCT06538220'],1
Any other serious chronic illness requiring immediate monitoring by a hospital specialist.,exclusion,healthy,['NCT06821126'],1
Any patient for whom IGB is contraindicated \[criteria defined by the French Society for Digestive Endoscopy) and the French Think-Tank for Hepato-Gastroenterology Practices\]:,exclusion,obesity,['NCT05364957'],1
"Any significant co-morbidity that would impact the study or the subject's safety, including subjects with significant malabsorption.",exclusion,breast cancer,['NCT05696626'],1
Any tumor size (pT stage);,inclusion,breast cancer,['NCT06418126'],1
"Any use of mineralocorticoid receptor antagonists (such as spironolactone, eplerenone, or finerenone), potassium-sparing diuretics (such as triamterene or amiloride), or potassium binders (such as sodium zirconium cyclosilicate, patiromer, or sodium polystyrene sulfonate) within 4 weeks prior to screening.",exclusion,hypertension,['NCT06268873'],1
"Apparent wound, which may postpone inclusion, or very fragile skin,",exclusion,stroke,['NCT05315726'],1
"Arterial hypertension treated with at least one blood pressure lowering drug therapy among blockers of the renin-angiotensin system (ACEi or ARB), at the maximal posology tolerated by the patients stable since at least one month. Other blood pressure lowering drug therapies are tolerated.",inclusion,hypertension,['NCT05732727'],1
Asthma according to the Global Initiative for Asthma (GINA) criteria,inclusion,obesity,['NCT05364957'],1
"Asymptomatic,",inclusion,breast cancer,['NCT05696626'],1
At least 1 or more ESR1 point mutations in the ESR1 ligand binding domain as assessed in cell- free ctDNA obtained from a blood or breast cancer tissue.,inclusion,breast cancer,['NCT05696626'],1
At least one of the following criteria:,inclusion,depression,['NCT05952674'],1
Autosomal dominant polycystic kidney disease treated with Tolvaptan,exclusion,hypertension,['NCT05732727'],1
"Available tissue from one archival tumour tissue sample (either from diagnostic biopsy, primary surgery or where available residual disease post-neoadjuvant chemotherapy)",inclusion,breast cancer,['NCT04985266'],1
"B. Tumour size \> 5 cm, regardless of lymph node status, or",inclusion,breast cancer,['NCT04985266'],1
Be affiliated to French social security system.,inclusion,healthy,['NCT06821126'],1
Be male or female between the ages of:,inclusion,healthy,['NCT06821126'],1
Be non-athletic,inclusion,healthy,['NCT06746220'],1
Be registered as a student at the University of Orléans,inclusion,healthy,['NCT06746220'],1
Beck Scale for Suicide Ideation (BSS) score ≥8,inclusion,depression,['NCT05894980'],1
Being female,inclusion,healthy,['NCT06746220'],1
"Being pregnant or breastfeeding,",exclusion,stroke,['NCT05315726'],1
"Being processed Cancer (chemotherapy, radiotherapy or hormone therapy)",exclusion,obesity,['NCT03472157'],1
Being under guardianship or curatorship.,exclusion,stroke,['NCT05315726'],1
Biliary cirrhosis,exclusion,hypertension,['NCT06687265'],1
Blood eosinophilia greater than 4.5 G/I,exclusion,obesity,['NCT05364957'],1
BMI and Brunt Fibriosis score:,inclusion,obesity,['NCT03472157'],1
"BMI: 18,5 Kg/m2 ≤ BMI ˂30Kg/m2.",inclusion,healthy,['NCT06821126'],1
"Body mass index (BMI) between 18.5 and 24.9 kg/m²,",inclusion,healthy,['NCT05370222'],1
Body Mass Index (BMI) between 35 and 60 kg/m2 inclusive,inclusion,obesity,['NCT05783466'],1
Body Mass Index (BMI) of 18.0 to 32.0 kg/m2 (inclusive); and a total body weight \>50.0 kg (110 lbs) and \<100.0 kg (220 lbs) at screening and Day -1.,inclusion,healthy,['NCT07090889'],1
Body mass index \> 35 and \< 50 kg/m2,inclusion,obesity,['NCT01501201'],1
"bolts, screws",exclusion,healthy,['NCT04457622'],1
Brain metastases are allowed only if the following 4 parameters hold:,inclusion,breast cancer,['NCT05696626'],1
"C. 1-3 involved axillary lymph nodes and at least one of the following; i) Tumour size \> 3 cm, ii) histological grade 3 iii) high genomic risk defined as Oncotype Dx Recurrence Score \>=26, Prosigna score \>=60, EPclin risk score \>=4.0, or Mammaprint high risk category, or",inclusion,breast cancer,['NCT04985266'],1
Cancer diagnosed within the last 5 years,exclusion,obesity,['NCT05364957'],1
Candidate for Gastric By-Pass,inclusion,obesity,['NCT01501201'],1
"Candidates for RY gastric By-pass bariatric surgery,",inclusion,obesity,['NCT04934826'],1
Cardiac arrhythmia.,exclusion,hypertension,['NCT04520048'],1
"Cardiac or vascular disease, or a heart condition (including symptoms of Raynaud's syndrome)",exclusion,healthy,['NCT04423874'],1
CARLSSON score (score ≥ 4) preoperatively,exclusion,obesity,['NCT04994665'],1
"Central laboratory serum potassium must meet the following criteria at the Screening Visit, based on screening eGFR:",inclusion,hypertension,['NCT06268873'],1
Central nervous system disease stable for \>3 months prior to registration as documented by magnetic resonance imagining (MRI).,inclusion,breast cancer,['NCT05696626'],1
"Cerebral vascular lesions (arteriovenous malformation, arteriovenous fistula, aneurysms, significant stenosis of extra- or intra-cranial vessels other than the targeted venous sinus stenosis, intracranial artery dissection, etc.).",exclusion,hypertension,['NCT06945848'],1
Certain infectious endocarditis according to Dukes Criteria,inclusion,stroke,['NCT05378126'],1
Certificate of no contraindication by a psychiatrist,inclusion,obesity,['NCT04994665'],1
Certificate of non-contraindication issued by the referring physician,inclusion,stroke,['NCT04759326'],1
"CGI-Severity score\<6 assessed by the psychiatrist (Berk et al., 2008) ISMI score indicating moderate to high self-stigma (\>2.5; Lysaker et al., 2007)",inclusion,depression,['NCT05698589'],1
Characterized depressive disorder with psychotic characteristics within 3 months before the inclusion (DSM-5),exclusion,depression,['NCT05952674'],1
Child-Pugh A or B,inclusion,hypertension,['NCT06687265'],1
Childbearing women must have an efficient contraception for the whole study period,inclusion,depression,['NCT05952674'],1
Cholangiocarcinoma,exclusion,hypertension,['NCT06687265'],1
Chronic alcohol or drug abuse,exclusion,stroke,['NCT06930131'],1
"Chronic hypertension, whether treated or not, know before pregnancy or diagnosed before randomization",inclusion,hypertension,['NCT04356326'],1
Chronic pain,exclusion,healthy,['NCT04423874'],1
Chronic phase (\> 3 months),inclusion,stroke,['NCT06930131'],1
Cirrhosis Child B-C,exclusion,hypertension,['NCT05732727'],1
claustrophobia,exclusion,healthy,"['NCT05036629', 'NCT04457622']",2
"Clinical diagnosis of OS, with confirmed TRPV3 or PERP mutation, and visible palmoplantar keratoderma.",inclusion,healthy,['NCT07090889'],1
Clinical signs of dysphagia,inclusion,stroke,['NCT05224973'],1
Clinical signs of hypovolemia,exclusion,hypertension,['NCT05732727'],1
Coagulopathy or other pathology that contraindicates biopsy procedures,exclusion,breast cancer,['NCT05981326'],1
"Cognitive deficit (clinical screening, confirmed by an QI \< 80 on the Weschler scale (WISC V), carried out as part of the usual treatment in the event of clinical evidence.",exclusion,depression,['NCT06351501'],1
"Cognitive impairment pre-existing stroke (CQI code \> 3.4) (Law et al., 1995)",exclusion,stroke,['NCT06930131'],1
Collection of informed written consent,inclusion,depression,['NCT03810482'],1
Collection of informed written consent,inclusion,hypertension,['NCT03810482'],1
Complete COVID-19 vaccination schedule according to current guidelines,inclusion,obesity,['NCT05364957'],1
"Complete portal vein thrombosis (main portal trunk, or right branch), or portal cavernoma",exclusion,hypertension,['NCT06687265'],1
Completed adjuvant radiation therapy (if indicated) and recovered before randomization,inclusion,breast cancer,['NCT06393374'],1
"Concomitant participation to another interventional clinical trial, excepted eventual ancillary researches validated by the study scientific committee. Participation to non-interventional researches is allowed.",exclusion,depression,['NCT05952674'],1
Consent form signed,inclusion,stroke,['NCT04621357'],1
Consumption of at least 1 serving/day of dairy products made from cow's milk,inclusion,obesity,['NCT05783466'],1
"Contra-indication to aspirin (bleeding disorders such as von Willebrand's disease, active peptic ulceration, hypersensitivity to aspirin, active peptic ulceration, NSAID-exacerbated respiratory disease, severe liver or heart dysfunction)",exclusion,hypertension,['NCT05521776'],1
"Contra-indication to aspirin, clopidogrel or other P2Y12 anti-aggregant",exclusion,hypertension,['NCT06945848'],1
Contra-indication to general anesthesia,exclusion,hypertension,['NCT06945848'],1
"Contra-indication to MRI : claustrophobia, ocular metallic foreign bodies (accidental or other) or in a risk area (nervous or vascular system);irremovable implanted medical device (pacemaker, neurostimulator, cochlear implants and others);metallic heart valve (mainly old heart valves) or vascular clips previously implanted on cranial aneurysms; gadolinium allergy",exclusion,stroke,['NCT04621357'],1
Contraindication to bariatric surgery,exclusion,obesity,['NCT01501201'],1
Contraindication to diuretics involved in the algorithm,exclusion,hypertension,['NCT05732727'],1
Contraindication to hormonal treatment (see paragraph 1.5),exclusion,depression,['NCT06351501'],1
Contraindication to undergoing brain MRI,exclusion,stroke,['NCT06930131'],1
Contraindications or known hypersensitivity to the trial medication or excipients.,exclusion,breast cancer,['NCT05896566'],1
Contraindications related to the radiofrequency technique:,exclusion,breast cancer,['NCT06900374'],1
Contraindications to physical activity,exclusion,stroke,['NCT04759326'],1
"Covered by a health insurance system where applicable, and/or in compliance with the recommendations of the national laws in force relating to biomedical research.",inclusion,healthy,['NCT07090889'],1
Criteria relating to contraindications to the explorations provided for by the MRI protocol:,exclusion,healthy,['NCT05036629'],1
Criterion A: current characterized depressive disorder and characterized depressive disorder for at least 12 months during the last 24 months despite at least four treatments lines at appropriate dosage and duration,inclusion,depression,['NCT05952674'],1
Criterion B: current treatment by ECT and criteria A before the start of the ECT treatment or ECT dependency criteria,inclusion,depression,['NCT05952674'],1
Current anticoagulant treatment,exclusion,depression,['NCT06351501'],1
Current medical history of cancer requiring chemotherapy,exclusion,hypertension,['NCT05732727'],1
"Current or recent treatment (within the last 12 months) with other physical methods: vaginal laser, photobiomodulation, PRP injection, hyaluronic acid injection or lipo-modeling.",exclusion,breast cancer,['NCT06900374'],1
Current participation in any clinical research trial involving an investigational drug or device within the last 30 days.,exclusion,breast cancer,['NCT05696626'],1
Current treatment with medications that are well known to prolong the QT interval.,exclusion,breast cancer,['NCT05896566'],1
"Currently participating or participated in any other clinical trial of an IMP or device, within the past 4 months before the screening visit.",exclusion,healthy,['NCT07090889'],1
"Cutaneous infection of the area to be treated with IMP within 2 weeks before the screening visit or any infection of treatment area requiring treatment with oral, parenteral antibiotics, antivirals, antiparasitics or antifungals or any topical within 2 weeks before the screening visit.",exclusion,healthy,['NCT07090889'],1
Cutaneous infection or another underlying condition of the skin which may impact the assessments or trial participants.,exclusion,healthy,['NCT07090889'],1
D. At least one lymph node positive (micrometastasis or macrometastasis) after chemotherapy,inclusion,breast cancer,['NCT04985266'],1
"Decompensated cirrhosis (MELD\> 7 CPT score\> 5, previous history of decompensation (encephalopathy, ascites, jaundice, varicose vein rupture)",exclusion,obesity,['NCT03472157'],1
Deficit still existing (Rankin score ≥ 3 and ≤ 4 at inclusion),inclusion,stroke,['NCT04759326'],1
"Definitively treated (e.g., radiotherapy, surgery),",inclusion,breast cancer,['NCT05696626'],1
Dependence on alcohol or psychoactive substances such as drugs,exclusion,obesity,['NCT04934826'],1
"Deprived of their liberty by court or administrative decision,",exclusion,depression,['NCT06035731'],1
Diabetes,exclusion,healthy,['NCT04423874'],1
Diabetes mellitus:,exclusion,hypertension,['NCT06268873'],1
Diabetic foot ulcers.,exclusion,healthy,['NCT07090889'],1
Diagnosed as having a progressive general pathology,exclusion,stroke,['NCT06930131'],1
Diagnosis of Chronic Obstructive Pulmonary Disease (COPD),exclusion,obesity,['NCT05364957'],1
"Diagnosis of cirrhosis based on a liver biopsy, or on clinical, biological, endoscopic, and radiological evidence",inclusion,hypertension,['NCT06687265'],1
Diagnosis of Major Depressive Disorder according to the 5th edition of Diagnostic and Statistical Manual of Mental Disorders (DSM-5) criteria and confirmation by the MINI Structured Clinical Interview,inclusion,depression,['NCT05894980'],1
Diagnosis of recurrent depressive trouble or persistent depressive disorder or bipolar disorder (according to DSM-5),inclusion,depression,['NCT05952674'],1
Dietary restriction (vegetarian or lactovegetarian) or high protein diet,exclusion,obesity,['NCT05783466'],1
"Disability, according to the investigator, to understand the study or refusal to sign the study consent form (non-francophone patient, cognitive disorders)",exclusion,depression,['NCT05952674'],1
Distant metastasis at the time of diagnosis;,exclusion,breast cancer,['NCT06418126'],1
"Documented estrogen receptor (ER)-positive tumor in accordance to ASCO/CAP guidelines (Allison et al. 2020),47 assessed locally and defined as ≥1% of tumor cells stained positive.",inclusion,breast cancer,['NCT05896566'],1
"Documented Human epidermal growth factor receptor 2 overexpressing and/or amplified (HER2+), metastatic breast cancer (mBC) or metastatic gastric adenocarcinoma, gastroesophageal junction adenocarcinoma, or esophageal adenocarcinoma (mGEAC).",inclusion,breast cancer,['NCT06324357'],1
"Documented human epidermal growth factor receptor-2 (HER2)-negative tumor in accordance to 2018 ASCO/CAP guidelines (Wolff et al. 2018)48, as determined per local assessment.",inclusion,breast cancer,['NCT05896566'],1
Documented investigator assessed progression after HER2-directed treatment (including treatment with trastuzumab deruxtecan (T-DXd) for non-T-DXd combination cohorts) for unresectable locally advanced or metastatic disease.,inclusion,breast cancer,['NCT06324357'],1
Dosed in another clinical trial within at least 10 tissue half-lives prior to dosing or 4 months.,exclusion,healthy,['NCT07090889'],1
Drinking more than 3 glasses of alcohol per day (\>30g/day),exclusion,obesity,['NCT05783466'],1
Drug abuse within the past year.,exclusion,obesity,['NCT03472157'],1
"Duodenal ulcer,",exclusion,hypertension,['NCT04356326'],1
"Dyskalemia (\<3,5 mmol/L or \>5,5 mmol/L)",exclusion,hypertension,['NCT05732727'],1
E. Lymph node negative and tumour size \> 3 cm after chemotherapy,inclusion,breast cancer,['NCT04985266'],1
early limitation of life-sustaining care,exclusion,stroke,['NCT04282629'],1
Eastern Cooperative Oncology Group (ECOG) performance score of 0 or 1,inclusion,breast cancer,['NCT05696626'],1
Eastern Cooperative Oncology Group (ECOG) performance status (PS) of 0 or 1.,inclusion,breast cancer,['NCT04725331'],1
Eastern Cooperative Oncology Group (ECOG) score of 0 or 1. Further,inclusion,breast cancer,['NCT06324357'],1
Eastern Cooperative Oncology Group Performance Status 0-1.,inclusion,breast cancer,['NCT05896566'],1
Eating disorder or mental disorder,exclusion,obesity,['NCT04994665'],1
"ECOG performance status 0, 1 or 2 (see https://ecog-acrin.org/resources/ecog-performance-status)",inclusion,breast cancer,['NCT04985266'],1
Effective contraception for women,inclusion,obesity,['NCT05364957'],1
"Eligible for upfront breast conservative surgery or upfront mastectomy: stage I, stage II or operable stage III (excludes T4) (AJCC Cancer Staging Manual 8th edition 2017).46 Tumor size must be ≥1.0 cm Multicentric and multifocal tumors and bilateral breast cancers are allowed but investigators must ensure the same tumor foci is biopsied pre-treatment and post-treatment (e.g., via clipping of the biopsied tumor foci).",inclusion,breast cancer,['NCT05896566'],1
Epilepsy,exclusion,healthy,['NCT04423874'],1
Esophagitis of grade B and above on the Oeso-Gastro-Duodenal Fibroscopy,exclusion,obesity,['NCT04994665'],1
Estradiol (E2) in the premenopausal range (according to institution parameters) or Patient has been menstruating regularly during the 6 months prior to screening and has not used any form of hormonal contraception or any other hormonal treatments during this time.,inclusion,breast cancer,['NCT05896566'],1
"Evidence of an informed consent document, signed and dated by the subject, indicating that the subject has been informed of all pertinent aspects of the study prior to initiation of any subject-mandated procedures.",inclusion,hypertension,['NCT06274801'],1
Evidence of an uncontrolled seizure disorder,exclusion,stroke,['NCT04759326'],1
"Evidence of intracranial hemorrhage (subarachnoid hemorrhage (SAH), intracerebral hemorrhage (ICH), etc.)",exclusion,hypertension,['NCT06945848'],1
"Evidence or history of clinically relevant hepatic, hematological, renal, endocrine, pulmonary, gastrointestinal, cardiovascular, hepatic, psychiatric, neurologic, or allergic disease.",exclusion,healthy,['NCT07090889'],1
Except for chemotherapy as neoadjuvant therapy for early-stage TNBC: Received prior systemic anticancer therapy including investigational agents within 4 weeks before randomization,exclusion,breast cancer,['NCT06393374'],1
"Except for pembrolizumab as neoadjuvant therapy for early-stage TNBC: received prior therapy with an anti-programmed cell death 1 protein (anti-PD-1), anti-programmed cell death ligand 1 (anti-PD-L1), or anti-PD-L2 agent, or with an agent directed to another stimulatory or coinhibitory T-cell receptor (eg, cytotoxic T-lymphocyte-associated protein-4 \[CTLA-4\], OX-40 \[cluster of differentiation (CD) 134\], or CD137)",exclusion,breast cancer,['NCT06393374'],1
Existing declaration of informed consent,inclusion,stroke,['NCT04759326'],1
Expected follow-up \< 3 months,exclusion,hypertension,['NCT06687265'],1
"Exposure to an oral drug (other than ACZ), substance, or disorder that has been associated with elevation of intracranial pressure within 2 months of diagnosis (lithium, vitamin A, tetracycline and related compounds)",exclusion,hypertension,['NCT06945848'],1
Extra-hepatic cancer without remission,exclusion,hypertension,['NCT06687265'],1
"Failure of other medical cares (medical, nutritional, dietetic and psychotherapeutic treatment) well conducted for 6 to 12 months.",inclusion,obesity,['NCT04934826'],1
"Female and male patients of reproductive potential must be willing to use an adequate method of contraception for the first three years of the trial, if randomised to standard endocrine therapy for the duration of trial treatment through to at least 4 weeks after the last dose of trial treatment, and if randomised to fulvestrant and palbociclib to 2 years after the last dose of fulvestrant (see section 4.6). Note: Abstinence is acceptable if this is the usual lifestyle and preferred contraception for the patient.",inclusion,breast cancer,['NCT04985266'],1
"Female participants of non-childbearing potential, childbearing potential and males capable of fathering a child must meet the contraception requirements.",inclusion,healthy,['NCT07090889'],1
"Female participating in the study must be either of non-child bearing (surgically sterilized at 6 month prior to screening or postmenopausal) or using an efficient contraception: hormonal contraception (including patch, contraceptive ring etc) intra-uterine device or other mechanical contraception",inclusion,obesity,['NCT03472157'],1
Fibroscan ≥ 9kPa or FibrometreVM ≥0.526 predicting a F3 or F4 fibrosis score grade within 1 month before inclusion Or F3 or F4 fibrosis score grade diagnosed by hepatic biopsy performed before inclusion.,inclusion,obesity,['NCT03472157'],1
First cerebral infarction,inclusion,stroke,['NCT06930131'],1
"First stroke ever \< 6 weeks, confirmed by imaging,",inclusion,stroke,['NCT05315726'],1
flutter patient or atrial fibrillation,exclusion,stroke,['NCT04282629'],1
Food allergies or intolerance to dairy products,exclusion,obesity,['NCT05783466'],1
"For a woman of childbearing potential, plan to be non-pregnant AND use of highly effective contraception from screening until the end of the trial.",inclusion,healthy,['NCT06821126'],1
For all experiments:,inclusion,healthy,['NCT04457622'],1
For All Experiments:,exclusion,healthy,['NCT04457622'],1
For all subjects:,exclusion,depression,['NCT05480826'],1
"For child-bearing aged women, contraception using oestroprogestative, progestative, intrauterine device, or mechanical contraception",inclusion,hypertension,['NCT06687265'],1
for ctDNA Surveillance:,inclusion,breast cancer,['NCT04985266'],1
